�..district,DISTRICT,DemShare2018,GOPShare208,Other2018,Reporting2018,GOP2party2018,Uncontested2018,GOPcandidate,GOPvotes2016,TotalVotes2016,candidate.D,DemVotes2016,Uncontested2016,gop2party2016
WI3,Wis. 3,0.6,0.4,—,1,0.4,0,Ryan Peterson,169,260370,Ron Kind,257401,0,0.000656132
WI4,Wis. 4,0.76,0.22,0.03,1,0.224489796,0,NA,0,0,Gwen Moore,220181,1,0
WI5,Wis. 5,0.38,0.62,—,1,0.62,0,F. James Sensenbrenner Jr.,260706,390844,Khary Penebaker,114477,0,0.6948769
WI6,Wis. 6,0.45,0.56,—,1,0.554455446,0,Glenn Grothman,204147,357183,Sarah Lloyd,133072,0,0.605384038
WI7,Wis. 7,0.39,0.6,0.01,1,0.606060606,0,Sean P. Duffy,223418,362271,Mary Hoeft,138643,0,0.617072814
WI8,Wis. 8,0.36,0.64,—,1,0.64,0,Mike Gallagher,227892,363780,Jerry Kobishop,2,0,0.999991224
WV1,W.Va. 1,0.35,0.65,—,1,0.65,0,David B. McKinley,163469,237003,Mike Manypenny,73534,0,0.689733885
WV2,W.Va. 2,0.43,0.54,0.03,1,0.556701031,0,Alexander X. Mooney,140807,242014,Mark Hunt,101207,0,0.581813449
WV3,W.Va. 3,0.44,0.56,—,1,0.56,0,Evan H. Jenkins,140741,207332,Matt Detch,49708,0,0.738995742
WY,Wyo.,0.3,0.64,0.04,1,0.680851064,0,,62.03,NA,,29.9,0,0.674752529
